ac;-9.9563;-67.86543
al;-9.66116;-35.74146
am;-3.10142;-59.97418
ap;-0.00609;-51.08485
ba;-13.00138;-38.50749
ce;-3.7458;-38.57565
df;-15.80416;-47.88138
es;-20.27694;-40.30444
go;-16.67642;-49.24087
ma;-2.55583;-44.30886
mg;-19.87;-43.9647245
mi;25.78236;-80.19308
ms;-20.50255;-54.61166
mt;-15.60812;-56.06511
pa;-1.475;-48.45555
pb;-7.21333;-35.9075
pe;-8.05888;-34.95333
pi;-5.10655;-42.8113
pr;-25.45061;-49.23211
rj;-22.95416;-43.17444
rn;-5.83961;-35.20095
ro;-8.83444;-63.94
rr;2.83393;-60.69473
rs;-30.04083;-51.20666
sc;-27.60138;-48.51694
se;-10.91455;-37.05449
sp;-23.55613;-46.72961
to;-10.18388;-48.3625
